gene1	gene2	rho	p.value	FDR	limited
139	2900011O08Rik	Snhg11	-0.384753609460958	1.999998000002e-06	6.13427958000613e-05	TRUE
140	Enpp2	Cpne6	0.382890794716305	1.999998000002e-06	6.13427958000613e-05	TRUE
141	Meg3	Rasl11b	-0.382852357860852	1.999998000002e-06	6.13427958000613e-05	TRUE
142	Rgs11	Sirt7	0.381810444529097	1.999998000002e-06	6.13427958000613e-05	TRUE
143	Rnf187	Prkar1b	0.381712979645626	1.999998000002e-06	6.13427958000613e-05	TRUE
144	Rgs11	Ncdn	-0.380823440990847	1.999998000002e-06	6.13427958000613e-05	TRUE
145	Tollip	Fam131a	0.380426717732775	1.999998000002e-06	6.13427958000613e-05	TRUE
146	Nrsn1	Meg3	-0.378378582435044	1.999998000002e-06	6.13427958000613e-05	TRUE
147	Cnih3	Tubb4a	0.378289354020598	1.999998000002e-06	6.13427958000613e-05	TRUE
148	Cplx1	Rnf187	0.37723783147498	1.999998000002e-06	6.13427958000613e-05	TRUE
149	Cnih3	Chgb	0.375898032513461	1.999998000002e-06	6.13427958000613e-05	TRUE
150	2900011O08Rik	Nefl	0.375635838249476	1.999998000002e-06	6.13427958000613e-05	TRUE
151	Rgs11	2900011O08Rik	-0.375475227103474	1.999998000002e-06	6.13427958000613e-05	TRUE
152	2900011O08Rik	Prkar1b	0.374803954877877	1.999998000002e-06	6.13427958000613e-05	TRUE
153	Aamp	Gap43	0.374370167509189	1.999998000002e-06	6.13427958000613e-05	TRUE
154	Col6a1	Rab26	0.373932261905987	1.999998000002e-06	6.13427958000613e-05	TRUE
155	Fxyd6	Ncald	0.373469646895709	1.999998000002e-06	6.13427958000613e-05	TRUE
156	5031439G07Rik	Meg3	0.37334198162581	1.999998000002e-06	6.13427958000613e-05	TRUE
157	Rnf187	Meg3	-0.373182743224646	1.999998000002e-06	6.13427958000613e-05	TRUE
158	Snhg11	Snap47	-0.373041350506371	1.999998000002e-06	6.13427958000613e-05	TRUE
159	Plekhb2	Ncdn	0.372930158174524	1.999998000002e-06	6.13427958000613e-05	TRUE
160	Plekhb2	Prkar1b	0.372039246774908	1.999998000002e-06	6.13427958000613e-05	TRUE
161	Snhg11	Fam131a	-0.371723515462255	1.999998000002e-06	6.13427958000613e-05	TRUE
162	Snhg11	Gap43	-0.371628796068459	1.999998000002e-06	6.13427958000613e-05	TRUE
163	Nrsn1	Napb	0.371083816367923	1.999998000002e-06	6.13427958000613e-05	TRUE
164	Clip3	Fam131a	0.369481823142419	1.999998000002e-06	6.13427958000613e-05	TRUE
165	Ncald	Snhg11	-0.368434418831314	1.999998000002e-06	6.13427958000613e-05	TRUE
166	Ndn	Malat1	-0.368305380816577	1.999998000002e-06	6.13427958000613e-05	TRUE
167	Adora1	2900011O08Rik	0.367440551568876	1.999998000002e-06	6.13427958000613e-05	TRUE
168	Ccl4	Cst3	0.366638868583705	1.999998000002e-06	6.13427958000613e-05	TRUE
169	Cst3	Rn45s	0.363217988448352	1.999998000002e-06	6.13427958000613e-05	TRUE
170	Nrsn1	Sirt7	-0.363213870213839	1.999998000002e-06	6.13427958000613e-05	TRUE
171	Ncald	Gap43	0.362314722345197	1.999998000002e-06	6.13427958000613e-05	TRUE
172	Malat1	Rnf187	-0.361636586395412	1.999998000002e-06	6.13427958000613e-05	TRUE
173	Arc	Dusp1	0.36130300939987	1.999998000002e-06	6.13427958000613e-05	TRUE
174	Ncald	Rn45s	-0.360413470745092	1.999998000002e-06	6.13427958000613e-05	TRUE
175	Ncald	Nefl	0.358774413408972	1.999998000002e-06	6.13427958000613e-05	TRUE
176	Aamp	Snap47	0.358744213022544	1.999998000002e-06	6.13427958000613e-05	TRUE
177	2900011O08Rik	Ncdn	0.357298712708528	1.999998000002e-06	6.13427958000613e-05	TRUE
178	Plekhb2	2900011O08Rik	0.356674113807411	1.999998000002e-06	6.13427958000613e-05	TRUE
179	Fxyd6	Malat1	-0.356617831269068	1.999998000002e-06	6.13427958000613e-05	TRUE
180	Enpp2	Adora1	-0.35649565697852	1.999998000002e-06	6.13427958000613e-05	TRUE
181	Hpcal4	Fam131a	0.355563563233775	1.999998000002e-06	6.13427958000613e-05	TRUE
182	Fam163b	Tubb4a	0.355146248803138	1.999998000002e-06	6.13427958000613e-05	TRUE
183	Pcp4	Mbp	0.354870327090776	1.999998000002e-06	6.13427958000613e-05	TRUE
184	Meg3	Chgb	-0.354623233020004	1.999998000002e-06	6.13427958000613e-05	TRUE
185	Fam163b	Eif4h	0.353433063245786	1.999998000002e-06	6.13427958000613e-05	TRUE
186	2900011O08Rik	Chgb	0.351899707262163	1.999998000002e-06	6.13427958000613e-05	TRUE
187	Arc	Gadd45g	0.351233926015917	1.999998000002e-06	6.13427958000613e-05	TRUE
188	Sirt7	Meg3	0.351225689546891	1.999998000002e-06	6.13427958000613e-05	TRUE
189	Cplx1	Tubb4a	0.351169407008549	1.999998000002e-06	6.13427958000613e-05	TRUE
190	Rgs11	Leng8	0.349243446001366	1.999998000002e-06	6.13427958000613e-05	TRUE
191	Cnih3	Rnf187	0.348318215980809	1.999998000002e-06	6.13427958000613e-05	TRUE
192	Ndn	Gap43	0.348215260117987	1.999998000002e-06	6.13427958000613e-05	TRUE
193	Rgs11	Eif4h	-0.348204278159286	1.999998000002e-06	6.13427958000613e-05	TRUE
194	Rgs11	Prkar1b	-0.347674398651965	1.999998000002e-06	6.13427958000613e-05	TRUE
195	Eif4h	Rn45s	-0.347543987892391	1.999998000002e-06	6.13427958000613e-05	TRUE
196	Nptx2	Chgb	0.346782114507511	1.999998000002e-06	6.13427958000613e-05	TRUE
197	Cpne6	Cplx1	-0.346706613541442	1.999998000002e-06	6.13427958000613e-05	TRUE
198	Enpp2	Robo3	0.346513056519337	1.999998000002e-06	6.13427958000613e-05	TRUE
199	Sprn	Clip3	0.346033968571007	1.999998000002e-06	6.13427958000613e-05	TRUE
200	Nrsn1	2900011O08Rik	0.34502774660503	1.999998000002e-06	6.13427958000613e-05	TRUE
201	Enpp2	Nrsn1	-0.344134089715739	1.999998000002e-06	6.13427958000613e-05	TRUE
202	Hpcal4	Napb	0.342360503385532	1.999998000002e-06	6.13427958000613e-05	TRUE
203	Robo3	Calb1	0.342079090693819	1.999998000002e-06	6.13427958000613e-05	TRUE
204	2900011O08Rik	Clip3	0.342070854224794	1.999998000002e-06	6.13427958000613e-05	TRUE
205	Ncald	Chgb	0.341709822332499	1.999998000002e-06	6.13427958000613e-05	TRUE
206	Adora1	Clip3	0.341009722465312	1.999998000002e-06	6.13427958000613e-05	TRUE
207	Rnf187	Fam131a	0.339376156108543	1.999998000002e-06	6.13427958000613e-05	TRUE
208	Dusp1	Gadd45g	0.339109843610044	1.999998000002e-06	6.13427958000613e-05	TRUE
209	Sprn	Prkar1b	0.338762539166126	1.999998000002e-06	6.13427958000613e-05	TRUE
210	Ncald	Fam131a	0.337153682216434	1.999998000002e-06	6.13427958000613e-05	TRUE
211	Hpcal4	Meg3	-0.343035893845642	3.999996000004e-06	0.000118727991871086	FALSE
212	Lamp5	Dkk3	-0.342770954091981	3.999996000004e-06	0.000118727991871086	FALSE
213	Nefl	Fam131a	0.335650526619238	3.999996000004e-06	0.000118727991871086	FALSE
214	Aamp	2900011O08Rik	0.334616849756509	3.999996000004e-06	0.000118727991871086	FALSE
215	Fezf2	Cplx1	0.333790457364261	3.999996000004e-06	0.000118727991871086	FALSE
216	Fam163b	Fam131a	0.333541990548652	3.999996000004e-06	0.000118727991871086	FALSE
217	Ncald	Rnf187	0.333360788230086	3.999996000004e-06	0.000118727991871086	FALSE
218	Malat1	Plekhb2	-0.335212621016037	5.999994000006e-06	0.000162377988882515	FALSE
219	Miat	Gap43	-0.333110948669639	5.999994000006e-06	0.000162377988882515	FALSE
220	Rnf187	Gap43	0.332296910980929	5.999994000006e-06	0.000162377988882515	FALSE
221	5031439G07Rik	Trim46	0.332215919035509	5.999994000006e-06	0.000162377988882515	FALSE
