,n_per_clone,area,source,pre_cell_layer,post_cell_layer,p_sis,p_sis_se,p_sis_sim,p_sis_se_sim,p_sis_ci_sim
76,86,0.018869191,Cadwell2019,L4,L4,0.054673369,0.018847083,0.057228848,0.020894868,0.03963962
77,86,0.018869191,Cadwell2019,L4,L5,0.232791599,0.140117382,0.3405783,0.278022185,0.6594217
78,86,0.018869191,Cadwell2019,L5,L2/3,0.05957224,0.050468485,0.109800404,0.196066385,0.165601246
79,86,0.018869191,Cadwell2019,L5,L4,1,0,1,0,0
80,86,0.018869191,Cadwell2019,L5,L5,0.013460008,0.013547149,0.014217225,0.014963573,0.028001318
81,86,0.018869191,Yu2009,L2/3,L2/3,0.267068458,0.05608349,0.277640486,0.062011311,0.11845504
82,86,0.018869191,Yu2009,L2/3,L4,0.267068458,0.05608349,0.277584842,0.062020568,0.118510685
83,86,0.018869191,Yu2009,L2/3,L5,0.267068458,0.05608349,0.277596412,0.06199373,0.118499115
84,86,0.018869191,Yu2009,L4,L2/3,0.267068458,0.05608349,0.277630852,0.062075023,0.118464675
85,86,0.018869191,Yu2009,L4,L4,0.267068458,0.05608349,0.277685302,0.061993735,0.118410225
86,86,0.018869191,Yu2009,L4,L5,0.267068458,0.05608349,0.277698725,0.062051194,0.118396802
87,86,0.018869191,Yu2009,L5,L2/3,0.267068458,0.05608349,0.277593177,0.061876696,0.11850235
88,86,0.018869191,Yu2009,L5,L4,0.267068458,0.05608349,0.27761052,0.062044713,0.118485007
89,86,0.018869191,Yu2009,L5,L5,0.267068458,0.05608349,0.27767467,0.061991738,0.118420857
90,86,0.023844083,Cadwell2019,L2/3,L2/3,0.015141204,0.01093314,0.015781631,0.011774418,0.021230797
91,86,0.023844083,Cadwell2019,L2/3,L4,0,0,0,0,0
92,86,0.023844083,Cadwell2019,L2/3,L5,0.186444722,0.121855307,0.30194526,0.289640575,0.69805474
93,86,0.023844083,Cadwell2019,L4,L2/3,0.071740427,0.025702623,0.076895982,0.030651361,0.05698063
94,86,0.023844083,Cadwell2019,L4,L4,0.043246943,0.015088348,0.045353444,0.016809695,0.031991578
95,86,0.023844083,Cadwell2019,L4,L5,0.191687883,0.121558438,0.306801541,0.286729071,0.693198459
96,86,0.023844083,Cadwell2019,L5,L2/3,0.047173069,0.040491051,0.096619414,0.195879995,0.132400796
97,86,0.023844083,Cadwell2019,L5,L4,1,0,1,0,0
98,86,0.023844083,Cadwell2019,L5,L5,0.010550808,0.01065043,0.011197183,0.01190642,0.022106221
99,86,0.023844083,Yu2009,L2/3,L2/3,0.221661122,0.049431896,0.231850275,0.055786989,0.104266389
100,86,0.023844083,Yu2009,L2/3,L4,0.221661122,0.049431896,0.231827936,0.055764553,0.104288727
101,86,0.023844083,Yu2009,L2/3,L5,0.221661122,0.049431896,0.231768487,0.055794385,0.104286359
102,86,0.023844083,Yu2009,L4,L2/3,0.221661122,0.049431896,0.231728723,0.05576526,0.10438794
103,86,0.023844083,Yu2009,L4,L4,0.221661122,0.049431896,0.231795272,0.05575319,0.104313144
104,86,0.023844083,Yu2009,L4,L5,0.221661122,0.049431896,0.231821297,0.055719526,0.104295367
105,86,0.023844083,Yu2009,L5,L2/3,0.221661122,0.049431896,0.231766669,0.055724221,0.104349995
106,86,0.023844083,Yu2009,L5,L4,0.221661122,0.049431896,0.231868651,0.055823521,0.104248013
107,86,0.023844083,Yu2009,L5,L5,0.221661122,0.049431896,0.231734273,0.055644078,0.104033547
